V3_gene	V4_gene	Sequence_change_or_not_in_two_versions	Method	Type
GRMZM2G145460	Zm00001d026311	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145461	Zm00001d036370	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G145466	Zm00001d019033	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145473	Zm00001d018532	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145480	Zm00001d026310	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145482	Zm00001d018533	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145496	Zm00001d011993	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145500	Zm00001d015613	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145504	Zm00001d018534	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145518	Zm00001d036366	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145527	Zm00001d039070	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145544	1:20908717-20908872	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G145552	Zm00001d039071	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145554	Zm00001d011413	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145556	Zm00001d039072	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145558	9:123776278-123776499	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G145562	Zm00001d047753	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145563	Zm00001d039073	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G145568	Zm00001d047752	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145573	Zm00001d009910	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145578	Zm00001d023729	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145579	Zm00001d049870	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145583	Zm00001d036615	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145589	Zm00001d037651	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G145594	Zm00001d017905	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145595	Zm00001d009212	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145599	Zm00001d017783	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G145632	8:98977548-98979213	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G145633	Zm00001d018718	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145651	Zm00001d004933	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145654	Zm00001d018717	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145655	Zm00001d038514	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145662	Zm00001d038513	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145666	Zm00001d004934	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145690	Zm00001d018225	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145709	Zm00001d042185	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145715	Zm00001d042184	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145718	Zm00001d035947	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145720	Zm00001d045728	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145721	Zm00001d035945	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145725	Zm00001d048609	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145752	Zm00001d010480	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145753	Zm00001d043058	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145756	Zm00001d040305	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G145758	Zm00001d003493	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145772	Zm00001d040305	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G145775	Zm00001d001870	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145788	2:44319773-44321034	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G145792	3:36911798-36924349	No_sequence_change_in_v4	CrossMap	1-to-0
GRMZM2G145794	Zm00001d047388	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145814	Zm00001d042183	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145816	Zm00001d001869	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145825	Zm00001d001868	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G145827	Zm00001d013426	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145840	Zm00001d042182	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145850	Zm00001d013425	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145854	Zm00001d013424	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145870	Zm00001d024393	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145879	Zm00001d038109	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145895	Zm00001d005482	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145905	Zm00001d010109	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145909	Zm00001d024166	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145914	Zm00001d009927	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145916	2:234533130-234533547	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G145935	Zm00001d013380	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G145944	Zm00001d005484	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G145950	Zm00001d034026	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145951	Zm00001d049598	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145958	Zm00001d016702	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145962	Zm00001d053713	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145968	Zm00001d002659	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145972	Zm00001d049597	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145974	Zm00001d034027	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145978	Zm00001d053710	No_change_in_genomic_sequence	Direct_mapping	many-to-1
GRMZM2G145978	Zm00001d053711	No_change_in_genomic_sequence	Direct_mapping	many-to-1
GRMZM2G145978	Zm00001d053712	No_change_in_genomic_sequence	Direct_mapping	many-to-1
GRMZM2G145989	Zm00001d046235	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G145996	Zm00001d053709	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146000	Zm00001d034028	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146004	Zm00001d008329	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146012	Zm00001d008330	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146015	Zm00001d034077	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146018	Zm00001d041919	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146020	Zm00001d041920	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146028	Zm00001d053707	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146031	Zm00001d008331	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146034	Zm00001d053706	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146041	Zm00001d013828	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146047	Zm00001d008326	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146089	Zm00001d039390	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146097	Zm00001d012849	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G146108	Zm00001d033463	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146111	Zm00001d032326	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146115	Zm00001d024274	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146118	Zm00001d050244	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146130	Zm00001d039391	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146140	Zm00001d036621	No_change_in_genomic_sequence	Direct_mapping	many-to-1
GRMZM2G146140	Zm00001d036622	No_change_in_genomic_sequence	Direct_mapping	many-to-1
GRMZM2G146142	Zm00001d024290	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146143	Zm00001d033465	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146152	Zm00001d038371	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146158	Zm00001d012850	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G146161	Zm00001d039392	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146163	Zm00001d008392	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146173	Zm00001d021397	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146177	Zm00001d050243	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146190	Zm00001d036620	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146192	Zm00001d048669	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146200	6:155683862-155687625	No_sequence_change_in_v4	CrossMap	1-to-0
GRMZM2G146206	Zm00001d012407	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146207	Zm00001d051893	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146209	Zm00001d015068	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146219	Zm00001d038372	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146222	Zm00001d052500	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146225	Zm00001d020412	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146228	Zm00001d051894	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146234	Zm00001d051896	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146240	Zm00001d021396	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146246	Zm00001d042216	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146267	Zm00001d005100	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G146278	Zm00001d032327	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146280	Zm00001d042215	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146283	Zm00001d005100	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G146286	Zm00001d032328	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146292	Zm00001d006762	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146305	Zm00001d036459	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146308	Zm00001d045875	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146309	7:80069956-80070621	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G146313	Zm00001d047880	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146315	Zm00001d045070	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146331	Zm00001d019553	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146335	7:80076631-80077257	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G146337	Zm00001d051504	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146346	Zm00001d052058	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146354	Zm00001d015123	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146355	Zm00001d003798	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146358	Zm00001d045069	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146374	Zm00001d014108	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146376	Zm00001d036461	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146378	Zm00001d005099	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146380	Zm00001d016950	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146386	Zm00001d047882	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146395	Zm00001d003797	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146416	Zm00001d006763	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146422	Zm00001d051505	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146437	Zm00001d012312	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146446	Zm00001d014109	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146449	Zm00001d014916	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146463	Zm00001d019552	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146472	Zm00001d004837	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146475	Zm00001d042102	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146486	Zm00001d033109	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146490	Zm00001d045381	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146502	Zm00001d052527	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146511	Zm00001d016021	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146514	Zm00001d049223	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146518	Zm00001d050273	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146523	Zm00001d046772	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146540	Zm00001d016022	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146541	8:24791468-24792121	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G146551	Zm00001d047146	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146553	Zm00001d052416	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146573	Zm00001d046773	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146583	9:105183610-105184356	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G146589	Zm00001d033108	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146599	Zm00001d013721	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146614	Zm00001d015434	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146616	Zm00001d033510	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146627	Zm00001d039713	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146644	Zm00001d039520	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146665	Zm00001d020122	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146670	Zm00001d020219	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146673	Zm00001d020538	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146677	Zm00001d016198	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146679	3:12831016-12831961	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G146685	Zm00001d005506	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146688	Zm00001d007840	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146694	Zm00001d003606	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146697	Zm00001d042370	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146720	Zm00001d052415	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146740	Zm00001d039716	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146745	Zm00001d006364	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146750	Zm00001d037503	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146754	Zm00001d050339	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G146760	Zm00001d036784	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146761	Zm00001d006361	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146778	Zm00001d037500	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146786	Zm00001d051233	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146794	Zm00001d016197	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146800	Zm00001d025781	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146809	Zm00001d025873	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146818	Zm00001d033105	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146819	Zm00001d033104	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146847	Zm00001d002535	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146862	Zm00001d049379	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G146866	Zm00001d002536	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146878	Zm00001d043786	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146885	Zm00001d011971	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146887	Zm00001d043787	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G146913	Zm00001d043789	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146940	Zm00001d019048	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G146945	1:214429250-214429828	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G146948	Zm00001d032146	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146951	Zm00001d024141	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146965	Zm00001d033554	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146971	1:214454830-214456728	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G146978	Zm00001d024142	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146981	Zm00001d024143	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G146994	Zm00001d033046	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147014	Zm00001d017547	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147026	Zm00001d053316	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147046	Zm00001d013290	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147051	Zm00001d010178	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147078	Zm00001d037654	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147112	4:165709864-165711947	No_sequence_change_in_v4	CrossMap	1-to-0
GRMZM2G147119	Zm00001d041199	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147123	Zm00001d050565	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147145	Zm00001d033556	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147152	Zm00001d004681	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G147158	Zm00001d003572	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G147172	Zm00001d016019	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147191	Zm00001d020727	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147196	Zm00001d006926	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147210	Zm00001d016017	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147213	Zm00001d010200	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147221	Zm00001d010039	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147226	Zm00001d011975	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G147241	Zm00001d003057	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147243	Zm00001d037774	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147245	Zm00001d037849	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147256	Zm00001d003058	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147266	Zm00001d023225	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147268	Zm00001d003059	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147271	Zm00001d010040	No_change_in_genomic_sequence	Direct_mapping	many-to-1
GRMZM2G147271	Zm00001d010041	No_change_in_genomic_sequence	Direct_mapping	many-to-1
GRMZM2G147279	Zm00001d050748	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147288	Zm00001d050747	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147301	1:74127165-74128589	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
GRMZM2G147319	Zm00001d045454	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147322	Zm00001d043353	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G147327	Zm00001d025337	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147332	Zm00001d033669	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147335	Zm00001d016595	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147346	Zm00001d032694	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147362	Zm00001d032579	No_change_in_genomic_sequence	Direct_mapping	1-to-1
GRMZM2G147373	Zm00001d047437	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G147377	Zm00001d017793	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147390	Zm00001d025338	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147399	Zm00001d045391	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147402	Zm00001d032991	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147418	Zm00001d032582	No_change_in_genomic_sequence	Direct_mapping	1-to-many
GRMZM2G147420	Zm00001d005008	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147422	Zm00001d021304	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147424	Zm00001d025339	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147430	Zm00001d017791	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147443	Zm00001d005007	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
GRMZM2G147446	Zm00001d005006	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147450	Zm00001d017790	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
GRMZM2G147452	Zm00001d052741	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
